SMILES,CCR5_pIC50,INT_pIC50,RT_pIC50
CNC(=O)[C@@H]1[C@@H](c2ccccc2)CN2CCN(Cc3cc(C)no3)C[C@H]12,5.822899638067988,5.823286569173084,5.30188534632073
Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1ccccc1O)O2,5.2493867579575815,5.103477882838757,5.233945903166143
CC(=O)Nc1ccc(CNc2nc3cc(-c4ccc(F)cc4)sc3c(=O)n2C)cc1,4.891295380292728,5.045268830073919,5.553177288327639
CN1CC1,5.543192005825124,4.398279264326116,5.453231001547407
CC(C)(C)OC(=O)NCCCCCNC(=O)c1[nH]cnc1C(=O)N1CCN(c2ccccc2)CC1,6.123064086744568,5.399047975129137,6.241408830243451
CCOC(=O)c1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)s1,5.310829822218485,4.855490958779355,5.879297400953967
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N)nc(N2CCOCC2)c1,6.036944633296771,5.560371727994201,5.405245618356073
O/N=C/c1nc(-c2cccc3ccccc23)no1,5.834414546846935,5.273820166804147,5.4585424455054365
COC(CNC(=N)C(Cl)(Cl)Cl)COc1ccccc1,5.752359410870334,4.8467210379468275,5.466233936068513
c1cncc(-c2noc(-c3ccc4ccccc4c3)n2)c1,5.141757028256861,5.291035482494582,5.573078598625094
CC(=S)NCCCC[C@H](NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)O,5.408968409405414,5.269565609103727,5.379331644572772
Cc1cccc(CN2CCc3c(COCC(=O)N(C)C)nn(C)c3C2)n1,5.517705925688639,5.4573360356291225,5.745669031371307
C/C=C1\COC(C(=O)NCCN2CCCC2)(C(F)(F)F)C=C1C=C1CCCCC1,6.694393910176646,4.920848985557635,6.204301033657656
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(CC(=O)O)cc2)cc1,6.063743795559992,5.420684186144919,5.7656546211991
CC(C)(C)c1ccc(C(=O)OC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.946091426381346,4.825994100596863,6.218903824358832
Cc1ccc(C(C)C)c(O)c1C(=O)O,5.86858653045058,4.821843865317223,5.1470285982319295
CCCCCCCCC(=O)OCC(=O)NCc1cc(OC)c(O)cc1I,6.497317473703139,4.5516161281014265,5.419953603613325
Fc1ccc(C(OCCN2CCN(CCCc3nc4ccccc4[nH]3)CC2)c2ccc(F)cc2)cc1,6.8430408690697755,5.0115490750067435,6.318893581696496
COC(=O)c1ccc(NC(=O)c2sc3cc(C(=N)NC(C)C)ccc3c2Cl)cc1,5.384088703960482,4.7649057701793796,6.0361730626125185
CCOC(=O)[C@]12CCCC=C1N(Cc1cccc3ccccc13)C(=O)[C@H](CC(=O)N1CCCCC1)C2,6.459184662112992,5.422537000888792,5.633561113413907
CCCCCCN1CC2CN(CCCCCC)CC(C1)C21CCCC1,6.840789686663708,4.671266891211973,5.60698936635449
