SMILES                                                                                                                        ,MolWt             ,MolLogP           ,pChEMBL Value
Brc1ccc(COc2ccc(Br)cc2N2CCOCC2)cc1                                                                                            ,427.1360000000002 ,4.627200000000004 ,6.0
C/C=C(\C)[C@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)CN(C)S(=O)(=O)c1ccccc1                                                       ,500.73000000000013,4.434600000000004 ,6.4
C/C=C(\C)[C@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)CN(C)S(=O)(=O)c1cn(C)cn1                                                     ,504.72200000000015,3.1681000000000017,6.0
C/C=C/CN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2                                                                  ,475.6330000000002 ,4.762700000000004 ,7.16
C=C(C)[C@H]1CC[C@@]2(C)CC[C@]3(C)C[C@H]4[C@@H](C)CC(=O)[C@H]4/C(C=O)=C\C[C@H]3[C@H]12                                         ,368.5610000000001 ,5.771700000000005 ,5.05
C=C(C)[C@H]1CC[C@@]2(C)CC[C@]3(C)C[C@H]4[C@@H](C)C[C@@]5(O)OC/C(=C/C[C@H]3[C@H]12)[C@@H]45                                    ,370.5770000000001 ,5.722500000000006 ,4.5
C=C(Cc1ccccc1)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1                                           ,590.8960000000003 ,8.299600000000009 ,8.44
C=CCN(C(=O)Cc1ccc(Br)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                   ,608.6210000000003 ,5.007000000000005 ,7.75
C=CCN(C(=O)Cc1ccc(C(F)(F)F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                             ,597.7220000000004 ,5.263300000000006 ,6.83
C=CCN(C(=O)Cc1ccc(Cl)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                   ,564.1700000000003 ,4.897900000000005 ,8.44
C=CCN(C(=O)Cc1ccc(F)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                    ,547.7150000000003 ,4.383600000000004 ,7.96
C=CCN(C(=O)Cc1ccc(OC(F)(F)F)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1                                                               ,536.6380000000001 ,6.828900000000007 ,6.46
C=CCN(C(=O)Cc1ccc(OC)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                   ,559.7510000000003 ,4.2531000000000025,7.84
C=CCN(C(=O)Cc1ccc(S(=O)(=O)N(C)C)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                       ,636.8590000000004 ,3.4948000000000032,8.48
C=CCN(C(=O)Cc1ccc(S(=O)(=O)NC)cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccc(F)cc2)CC1                                       ,640.8220000000003 ,3.291700000000003 ,7.95
