SMILES                                                                                                                    ,MolWt             ,MolLogP              ,pChEMBL Value
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)OC                       ,557.7280000000004 ,5.061500000000005    ,5.52
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O                                            ,430.5410000000003 ,4.442200000000004    ,5.52
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O/C(=N\C1CCCCC1)NC1CCCCC1                    ,636.874           ,7.51180000000001     ,4.06
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)ON[C@@H](C(=O)OC)c1ccccc1                    ,593.7170000000003 ,5.319700000000005    ,5.3
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)ON[C@H](C(=O)OC)c1ccccc1                     ,593.7170000000003 ,5.319700000000005    ,5.3
C=C(C=O)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)OP(=O)(OCC)OCC                               ,566.6280000000003 ,6.081900000000007    ,4.09
C=C(CO)[C@@H]1C[C@@]2(C)C(=C[C@H]1O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O                                          ,434.5730000000003 ,4.027400000000003    ,4.14
C=C/C(C)=C1\C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O                                               ,428.5690000000003 ,5.573400000000005    ,4.12
C=C1c2c(c(O)c3ncccc3c2OC)C(=O)N1Cc1ccc(F)cc1                                                                              ,350.349           ,3.714800000000002    ,6.82
C=C1c2c(c(O)c3ncccc3c2OS(=O)(=O)N(C)C)C(=O)N1Cc1ccc(F)cc1                                                                 ,443.4560000000002 ,2.891400000000001    ,6.38
C=CC(=C)[C@@H]1C[C@@]2(C)C(=CC1=O)[C@H](OC(=O)/C(C)=C/C(C)CCCC)CC[C@@H]2C(=O)O                                            ,428.5690000000003 ,5.429300000000005    ,4.52
CC(=O)C(/N=N/c1ccc(S(=O)(=O)Nc2ccccn2)cc1)C(=O)Nc1ccccc1C                                                                 ,451.50800000000015,3.870820000000003    ,4.16
CC(=O)C1(/N=N/c2ccc(S(=O)(=O)Nc3nccc(C)n3)cc2)CCOC1=O                                                                     ,403.42000000000024,1.9442199999999998   ,4.1725
CC(=O)C1=C(NNC(=O)c2ccccn2)[C@@]2(C)C(=CC1=O)Oc1c(C(C)=O)c(O)c(C)c(O)c12                                                  ,463.44600000000025,1.8982199999999998   ,4.268
CC(=O)N(C)CCN(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc12                                                                     ,425.4640000000001 ,2.319                ,6.81
