SMILES                                                                                                       ,MolWt             ,MolLogP            ,pChEMBL Value
C#CCN1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                     ,318.2979999999999 ,2.7928000000000006 ,5.74
C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@]3(C)Cl                                         ,346.898           ,4.244000000000004  ,4.6899999999999995
C/C=C/Nc1ccc2c(n1)N(CC)c1ncccc1C(=O)N2C                                                                      ,309.37300000000005,3.1701000000000015 ,6.41
C1=Cc2cccnc2N(C2CC2)c2ncccc21                                                                                ,235.29            ,3.2609000000000017 ,7.006666666666667
C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1                                                                   ,307.8500000000001 ,4.304990000000004  ,6.17
C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(CCC)C1                                                                     ,285.391           ,3.0625000000000018 ,4.32
C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)CC1C                                                                         ,257.33699999999993,2.1098             ,4.46
C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C                                                                             ,273.405           ,3.1052000000000017 ,7.58
C=C(C)OC(=O)N1c2cc(Cl)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                         ,398.76800000000014,4.483200000000002  ,6.5
C=C(C)OC(=O)N1c2cc(F)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                          ,382.3130000000001 ,3.9689000000000023 ,6.74
C=C(C)OC(=O)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                             ,364.3230000000001 ,3.8298000000000023 ,6.77
C=C1C(C)C(=O)NC(=O)N1[C@H]1C[C@H](N=[N+]=[N-])[C@@H](COCP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1                       ,535.2360000000002 ,0.8676999999999995 ,5.34
C=CCC1(CC)Oc2ccccc2-n2cccc2C1=O                                                                              ,267.32800000000003,3.777300000000002  ,5.3
C=CCC1(c2ccccc2)Oc2ccccc2-n2cccc2C1=O                                                                        ,315.37200000000007,4.524000000000004  ,4.6
C=CCCCC=C(c1cc(Br)c(OC)c(C(=O)OC)c1)c1cc(Br)c(OC)c(C(=O)OC)c1                                                ,582.2850000000002 ,6.590000000000006  ,4.0
C=CCN1C(=O)c2ccccc2Oc2ccccc21                                                                                ,251.285           ,3.6251000000000024 ,6.33
C=CCN1c2cc(Cl)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                 ,354.75900000000007,3.9990000000000023 ,6.19
C=CCN1c2cc(F)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                  ,338.304           ,3.484700000000002  ,6.91
C=CCN1c2cc(OC)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                 ,350.34000000000003,3.3542000000000023 ,6.91
C=CCN1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                     ,320.3139999999999 ,3.345600000000002  ,6.22
C=CCN1c2ncccc2C(=O)N(C)c2cccnc21                                                                             ,266.304           ,2.3907000000000007 ,6.07
C=CCOC(=O)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                               ,364.3230000000001 ,3.4822000000000015 ,6.83
C=CCOC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N                                                                      ,340.78800000000007,2.3035             ,5.449999999999999
C=CCOCc1ccnc2c1NC(=O)c1cccnc1N2C1CC1                                                                         ,322.3680000000001 ,3.0454000000000017 ,5.85
C=CCn1cnc2c(ncn2[C@@H]2O[C@H](COC)[C@@H](OP(C)(=O)O)[C@H]2OC)c1=O                                            ,414.35500000000013,0.5382             ,4.3
C=CCn1cnc2c(ncn2[C@@H]2O[C@H](COC)[C@@H](OP(C)(O)=S)[C@H]2OC)c1=O                                            ,430.4230000000001 ,0.6545999999999998 ,7.41
C=Cc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C                                                                     ,350.20500000000015,4.798720000000003  ,7.64
C=Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1                                                                            ,278.3150000000001 ,2.985800000000001  ,6.96
