SMILES                                                                                                                        ,SMILES                                                                                                                        ,MolWt             ,MolLogP           ,pChEMBL Value     ,pChEMBL Value_pred_mean_cv_train,pChEMBL Value_pred_std_cv_train,pChEMBL Value_pred_mean_cv,pChEMBL Value_pred_std_cv,cv_error_train        ,absolute_cv_error_train,cv_error              ,absolute_cv_error
Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccc(NC(=O)OC(C)(C)C)cc1                                           ,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccc(NC(=O)OC(C)(C)C)cc1                                           ,628.8090000000002 ,7.297920000000008 ,5.8               ,6.227483169593031               ,0.16108977527608234            ,7.410332651772902         ,0.3033192670999602       ,0.4274831695930308    ,0.4274831695930308     ,1.610332651772902     ,1.610332651772902
O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(n3cnc4ccccc4c3=O)CC2)[C@@H](c2ccccc2)C1                                                 ,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(n3cnc4ccccc4c3=O)CC2)[C@@H](c2ccccc2)C1                                                 ,528.6970000000001 ,4.782500000000004 ,7.92              ,7.677243708660656               ,0.09266449923097704            ,7.279889052930919         ,0.10289279813115139      ,-0.24275629133934373  ,0.24275629133934373    ,-0.6401109470690809   ,0.6401109470690809
Cc1cccnc1OC(c1ccc(Br)cc1)C1CCN(C(C)CCNC(=O)c2c(Cl)cncc2Cl)CC1                                                                 ,Cc1cccnc1OC(c1ccc(Br)cc1)C1CCN(C(C)CCNC(=O)c2c(Cl)cncc2Cl)CC1                                                                 ,606.3919999999999 ,6.895020000000009 ,6.72              ,6.588067166299948               ,0.14371543519598015            ,6.422259263741199         ,0.06315249003602154      ,-0.13193283370005204  ,0.13193283370005204    ,-0.2977407362588007   ,0.2977407362588007
CC(C)Oc1ccc(C2CCN(Cc3ccc(N)cc3)CC2)cc1NC(=O)c1cnccn1                                                                          ,CC(C)Oc1ccc(C2CCN(Cc3ccc(N)cc3)CC2)cc1NC(=O)c1cnccn1                                                                          ,445.5670000000002 ,4.477900000000003 ,4.11              ,4.123766187506842               ,0.09012345972915896            ,4.305976098757744         ,0.21180706001187616      ,0.013766187506841554  ,0.013766187506841554   ,0.19597609875774324   ,0.19597609875774324
CC(CCNC(=O)c1c(Cl)cncc1Cl)N1CCC(C(Oc2ccccc2Cl)c2ccc(C(F)(F)F)cc2)CC1                                                          ,CC(CCNC(=O)c1c(Cl)cncc1Cl)N1CCC(C(Oc2ccccc2Cl)c2ccc(C(F)(F)F)cc2)CC1                                                          ,614.9230000000002 ,8.101300000000005 ,6.92              ,7.093055564123429               ,0.10574177626459792            ,7.2725369963463375        ,0.10151753936417905      ,0.17305556412342948   ,0.17305556412342948    ,0.3525369963463376    ,0.3525369963463376
CCn1nc(Cc2ccc(OC(C)(C)C)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1                                 ,CCn1nc(Cc2ccc(OC(C)(C)C)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1                                 ,632.8650000000002 ,7.204500000000008 ,8.7               ,8.936183319388805               ,0.07468395154770066            ,9.102305360221921         ,0.04842175687900333      ,0.23618331938880566   ,0.23618331938880566    ,0.40230536022192176   ,0.40230536022192176
Cc1cccc(Cl)c1S(=O)(=O)C(=O)N1C[C@@H]2CN(CCC(c3ccccc3)C3CCN(S(C)(=O)=O)CC3)C[C@@H]2C1                                          ,Cc1cccc(Cl)c1S(=O)(=O)C(=O)N1C[C@@H]2CN(CCC(c3ccccc3)C3CCN(S(C)(=O)=O)CC3)C[C@@H]2C1                                          ,608.226           ,4.251220000000004 ,5.66              ,5.93127186286336                ,0.14483714027663963            ,6.932783388932384         ,0.42495489632822947      ,0.2712718628633599    ,0.2712718628633599     ,1.2727833889323836    ,1.2727833889323836
CCCN1C(=O)[C@@H](CC(C)C)NC(=O)C12CCN(CCCCCCc1ccccc1)CC2                                                                       ,CCCN1C(=O)[C@@H](CC(C)C)NC(=O)C12CCN(CCCCCCc1ccccc1)CC2                                                                       ,441.6600000000003 ,4.407200000000003 ,5.52              ,5.808591564096892               ,0.09278608700850473            ,6.209381015479228         ,0.4118753647275136       ,0.28859156409689213   ,0.28859156409689213    ,0.6893810154792286    ,0.6893810154792286
COc1ccc(CC(=O)NC2CCN(CC[C@H](NC(=O)C3CCC3)c3ccccc3)CC2)cc1                                                                    ,COc1ccc(CC(=O)NC2CCN(CC[C@H](NC(=O)C3CCC3)c3ccccc3)CC2)cc1                                                                    ,463.6220000000003 ,3.8660000000000014,7.32              ,7.34318395824413                ,0.11858094935932201            ,7.002880991410466         ,0.37473625247532294      ,0.023183958244129776  ,0.023183958244129776   ,-0.31711900858953435  ,0.31711900858953435
C=C(Cc1ccccc1)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1                                           ,C=C(Cc1ccccc1)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1                                           ,590.8960000000002 ,8.299600000000009 ,8.44              ,8.547063130126144               ,0.09248307547356553            ,8.737667795433678         ,0.07106370458582847      ,0.10706313012614466   ,0.10706313012614466    ,0.2976677954336786    ,0.2976677954336786
