set      ,adjusted_r2       ,r2                ,p_corr            ,k_tau             ,rmse               ,mae
train    ,0.935185884913679 ,0.9382992266863844,0.9705208546577302,0.8510733991148012,0.32295437821022305,0.24264697459728402
train    ,0.9073479826488501,0.9088989261707398,0.9571245402264235,0.8184243703615318,0.4071991143037863 ,0.30723095999850464
train    ,0.9823082962654253,0.9832224963856253,0.9918057519028238,0.927064005181124 ,0.1745185356841373 ,0.1147410588548836
train    ,0.9597805272379296,0.9615661079064058,0.9815790107239044,0.8824159724925811,0.2622852847767558 ,0.19662447194495494
train    ,0.9772924393961749,0.9782833147679783,0.9894818516101495,0.9151322549524472,0.19374043295473145,0.13218806406092534
train    ,0.9786957026015386,0.9793934415993047,0.9900049883975144,0.9177814002520631,0.19207480626656231,0.13304989356572097
train    ,0.96174233427345  ,0.9631066906203212,0.9822750453664884,0.8852659296501351,0.2560963451793595 ,0.18830157101017003
train    ,0.9729091184311798,0.9739935423658851,0.9875320348547668,0.9052370121675984,0.21069628590888598,0.15160790005322572
train    ,0.9460935929143088,0.948565284068893 ,0.9752989519896758,0.8634015188450824,0.30300426257308105,0.22755878639131663
train    ,0.9617028437537753,0.9632625824808944,0.9823421723425856,0.8855159710969321,0.25602368483827287,0.1880771488347757
train    ,0.9611992553320013,0.9629783287774772,0.9823038739054282,0.8851009427364921,0.25799639596258933,0.190677518680952
train    ,0.9635688296174465,0.965106681060087 ,0.9832899632683398,0.8894766064836863,0.24774038996580836,0.1814667577677454
train    ,0.9564125305836382,0.9581572982822553,0.9800211153014671,0.8794194514407859,0.27044079718841624,0.20146871239978306
train    ,0.9401828393404524,0.941401820780385 ,0.9720345668739944,0.853548680610749 ,0.3223876560338192 ,0.24426918921646534
train    ,0.9867691817838463,0.9869520076355605,0.9935912278068467,0.9407296655807827,0.15188443411201782,0.09079223565939239
train    ,0.9630883660114083,0.9645927703078866,0.9830840393807083,0.8886018463601213,0.2512637540416933 ,0.18671634110202268
train    ,0.9550201348130696,0.9566896931278683,0.9791197137097595,0.8746412877355733,0.2781972274145045 ,0.207873237432392
train    ,0.9674550340516305,0.9688525253114222,0.9850249223713219,0.8948027133884374,0.23543535145842104,0.1720910796221236
train    ,0.9553599446381216,0.9575042267734083,0.9796980658811625,0.8769852315503076,0.2721086027084031 ,0.20362917453356133
train    ,0.9659814070752245,0.9671442244333804,0.9842959425946693,0.8919462572930412,0.2400022452111031 ,0.17490389221331867
train    ,0.9560159685644478,0.9565601669155427,0.9794452795134192,0.877782428233117 ,0.2769160777813129 ,0.20806066139447515
train    ,0.9310364828703414,0.9333954969206281,0.968443993056967 ,0.8445865637847231,0.3392179864543687 ,0.25512020744651825
train    ,0.984471377225184 ,0.9852964059461167,0.9928365160360899,0.933053520758672 ,0.16223873730570632,0.10686445749752892
train    ,0.9521144869368111,0.9531948733305221,0.9778571803909645,0.8693705468191771,0.2891746672461646 ,0.2161663085067584
train    ,0.9640413429874276,0.9650874130096115,0.9831982259068162,0.8866854097700483,0.2489275476093771 ,0.18272158995912965
val      ,0.692118409270229 ,0.7513609311016136,0.8671457698444963,0.6867411230586974,0.7180357260691591 ,0.5225009995261422
val      ,0.6389706752870243,0.6631796387517428,0.8183081223486852,0.621995598285996 ,0.7228389060030097 ,0.5548774911475903
val      ,0.6135605499729543,0.6935523894829259,0.8339294461393338,0.6399057576958816,0.6966031088743043 ,0.5082156811674147
val      ,0.6160664506627931,0.6843461780959407,0.8279578595649981,0.6192071628120335,0.7238599666620951 ,0.5323380620173715
val      ,0.6327905379675676,0.6972132506048364,0.8360563075243113,0.6328175185769602,0.765132755599654  ,0.555109239474756
val      ,0.6904528838507389,0.7310640215379597,0.8551652146597861,0.6606310079734699,0.672062326528463  ,0.5047750605533257
val      ,0.6353035177115331,0.6874030151813141,0.8293636232741142,0.6440148398352709,0.7342267723518414 ,0.5347065197355124
val      ,0.6309022324621236,0.6900870056824828,0.8320734697364741,0.6321755685123049,0.7841419054700536 ,0.5712814065301399
val      ,0.646123187203629 ,0.7111209691458197,0.8433056679150189,0.6345535505785246,0.7021188096756775 ,0.5110971941587663
val      ,0.6548421431901303,0.7113592191589979,0.844034579544618 ,0.6477804398182678,0.7024213660643105 ,0.5104873502246905
val      ,0.5590082960057396,0.6400067722495834,0.8019540182043954,0.6010800814950916,0.7700814487359127 ,0.5592229333531537
val      ,0.6945407701078044,0.7461927681653768,0.8644436635914471,0.6618096275882837,0.6779199009914019 ,0.5140495936129795
val      ,0.6021863807884464,0.6659757366386956,0.8190784548484831,0.6069545713486278,0.7870189294177488 ,0.5650570690524803
val      ,0.6626204758476255,0.6901616614927173,0.8314315921080961,0.6337002505207407,0.7368019110485794 ,0.5411871784009116
val      ,0.6623322826786455,0.6810916003076097,0.8281075580992865,0.6231484651337471,0.7522249068208837 ,0.5508402233094755
val      ,0.637958455193786 ,0.6970672788356169,0.8368529144969525,0.6399617867412825,0.7196879690045281 ,0.5299964960048059
val      ,0.6053954268128244,0.6640684099980896,0.8169445080877691,0.6218656729581673,0.7543963513945648 ,0.5364599228656138
val      ,0.6225908814964125,0.6875096511515486,0.830485984111866 ,0.6322183470949109,0.7348200123939485 ,0.5303691379526536
val      ,0.645413203678024 ,0.7136427329994538,0.8453722833630313,0.64285043083877  ,0.728397681419501  ,0.5295474605109881
val      ,0.6672669808200883,0.7129934483682048,0.8444022807016012,0.6357787629606078,0.7252742598929361 ,0.5564936752558692
val      ,0.6757815227271143,0.6918506600846626,0.8324567322319221,0.6332141829665634,0.7403146374597078 ,0.528050997258823
val      ,0.6648793480571695,0.7107996706265952,0.8431840230950123,0.6641987378510612,0.7411035225689464 ,0.527820774251068
val      ,0.6120102986447518,0.6945853662801252,0.8346457773098996,0.6242230901783903,0.7176026176224011 ,0.5101100996288874
val      ,0.6264682103056798,0.6602276431935047,0.8125989309744577,0.622906356854922 ,0.7600424148514117 ,0.5733696507278264
val      ,0.6223551750200669,0.6665241603978369,0.8166462417981208,0.6180107265102374,0.7624635466562026 ,0.5663784537766919
