set      ,adjusted_r2        ,r2                ,p_corr            ,k_tau             ,rmse                ,mae
train    ,0.9952748369936728 ,0.9956794147631968,0.9979110722162863,0.9617687320885302,0.06763597574467557 ,0.04326394671846885
train    ,0.9948652207124039 ,0.9953546423246303,0.9977795093388002,0.9579215794803687,0.07128841129460453 ,0.048518720372574826
train    ,0.9984940557020391 ,0.998652192017657 ,0.9993318729616922,0.9815406053405653,0.03820901248719834 ,0.018539078569252392
train    ,0.9915796340791201 ,0.9923278087570658,0.9963685183659139,0.9417939406959048,0.09213119756887313 ,0.06612094681477546
train    ,0.9759082606542321 ,0.978477008306608 ,0.9901984093213917,0.9062478577134335,0.15595043879259418 ,0.11560641974033245
train    ,0.9948909578861912 ,0.9953944337649349,0.9977899803953478,0.9599523835550007,0.07102698883400875 ,0.04629541232231308
train    ,0.9983276975868012 ,0.9985222141841361,0.9992655955386969,0.9815726136715878,0.03947846332126262 ,0.018162420273345588
train    ,0.9909189286855677 ,0.9919311967319261,0.9962144304062367,0.9426514125946177,0.09488838204259173 ,0.06686692735366935
train    ,0.9988056139451037 ,0.9988866546790385,0.9994496509047434,0.9809405888043944,0.03536060080963258 ,0.018595705286942255
train    ,0.9982644381562862 ,0.998413040382    ,0.9992153731001471,0.979428753543046 ,0.041448546961967585,0.02025275298013328
train    ,0.9978133592137068 ,0.9979899860946675,0.9990061055168453,0.9772604299454859,0.04688698095652829 ,0.023834874960065422
train    ,0.9984577951810225 ,0.9986321963721831,0.9993189065280943,0.9822095394218862,0.03821274903829698 ,0.017258142188903255
train    ,0.9623031095783013 ,0.9662006879094625,0.9850170116691085,0.8827421584330074,0.1915998793781637  ,0.14612993407198754
train    ,0.9971336660440723 ,0.9973142589750597,0.9986942477382632,0.9702626881192823,0.054689517553541296,0.0333796581292512
train    ,0.9982119130157758 ,0.9983043504689183,0.9991666564631562,0.9765735542986919,0.04336866697540731 ,0.024041329430471818
train    ,0.9983947286795578 ,0.9985010552128989,0.9992564912945894,0.9807225776845608,0.04099360818923033 ,0.018862276135176954
train    ,0.9763212986838515 ,0.9785017283688604,0.9901529720544744,0.9051420938097657,0.15144412398701906 ,0.11520119242375358
train    ,0.9961295199204633 ,0.9964671708482419,0.998292811983591 ,0.9651568548267792,0.06267743526938235 ,0.04050670625432422
train    ,0.9958966637363067 ,0.996301031284102 ,0.9982057639838054,0.963318902347081 ,0.06332059127000815 ,0.0398227249207604
train    ,0.9983651077286169 ,0.9984786785972267,0.999254986205645 ,0.9765370991618374,0.040684424506650316,0.02284213914346256
train    ,0.9975984642040843 ,0.9978118478370008,0.9989224771029583,0.9750961613579694,0.04885153813683232 ,0.026794175160760405
train    ,0.9976639275577852 ,0.9977809198771853,0.9989133946019876,0.9718794706341713,0.04877351491863057 ,0.02949591932041808
train    ,0.9923284622779538 ,0.9931340357059554,0.9967171813573215,0.9469027519922812,0.08780640935920124 ,0.060054415594990265
train    ,0.9984085531195718 ,0.9985962358696061,0.99930220736962  ,0.9817373909469069,0.039580859959205454,0.01859073833264727
train    ,0.9974171994740211 ,0.9975882734991667,0.9988215489543116,0.9712426923576742,0.05078055146351575 ,0.02997253937288632
val      ,0.5466064887139999 ,0.7026445153254155,0.8442209342559296,0.6423457061531517,0.6063201597110058  ,0.46207071876696815
