set      ,adjusted_r2        ,r2                 ,p_corr            ,k_tau              ,rmse               ,mae
train    ,0.9484640862979241 ,0.9504105866355924 ,0.9775170371231524,0.872499115457299  ,0.2235552405281569 ,0.16603785924515194
train    ,0.9694554987495028 ,0.9707190302760521 ,0.9865872344008499,0.9031883735979036 ,0.1682297633397288 ,0.12305289565226245
train    ,0.8944256671382818 ,0.8982198929374451 ,0.9545448035188691,0.8141560592142058 ,0.3191608264612164 ,0.24638374779586567
train    ,0.8950258167595261 ,0.8992700559741005 ,0.9546658014130269,0.8149561403367225 ,0.3185619751455207 ,0.24826563826760503
train    ,0.795083858042415  ,0.803368877259029  ,0.9125388199120158,0.7434658687435807 ,0.4504945314063913 ,0.35493956060014253
train    ,0.8993784782555068 ,0.90480769705467   ,0.9566725674529368,0.8201618022857026 ,0.3066261288337892 ,0.23528615654977006
train    ,0.9362212854821784 ,0.9389169685598202 ,0.9721727843364212,0.8570728086512909 ,0.2470461366435132 ,0.18579286356718516
train    ,0.9125630209838693 ,0.9175122839470465 ,0.9625945601080631,0.8337462056316235 ,0.28874114250693117,0.22033716436415107
train    ,0.8985951942942509 ,0.9040617606395743 ,0.956915052237972 ,0.8212094772909959 ,0.30945100104241535,0.23877913922803806
train    ,0.9143819489806922 ,0.9176897443030914 ,0.9631373435881687,0.8330057423916135 ,0.28983224440606187,0.22087304176347794
train    ,0.973456630429341  ,0.9742920782125902 ,0.9880890019745634,0.9083586189159437 ,0.1598282491176965 ,0.11621957751995139
train    ,0.8610056258243047 ,0.8673803678053843 ,0.940120584680255 ,0.786436329694406  ,0.3616314245150536 ,0.2815352321858794
train    ,0.8723911203237931 ,0.877435855908477  ,0.9449129593630964,0.7944133175392614 ,0.35505396198353467,0.27753158407722184
train    ,0.9478655763732217 ,0.9499734371667572 ,0.9773280359104572,0.8701347063868627 ,0.22371937788016974,0.16812057626913648
train    ,0.9506132384425018 ,0.9533643428599006 ,0.9788384951738118,0.8741500789127118 ,0.21659417010448836,0.16491534972072003
train    ,0.9595910981421132 ,0.9612990283465382 ,0.9822983165641017,0.8890885238503207 ,0.19903935790742716,0.1458349122435353
train    ,0.93535361061563   ,0.9379696965169759 ,0.9721537013816415,0.8568476377108745 ,0.24791827618078216,0.18894121448243176
train    ,0.8059348584180915 ,0.8134324335196388 ,0.9170879956139033,0.7503783965345238 ,0.4412870113156276 ,0.34348583667012583
train    ,0.9800137208991835 ,0.980857705730934  ,0.9910319221351833,0.9208872556723969 ,0.13689808450047627,0.09607123763626153
train    ,0.9474031539583574 ,0.9500967929739671 ,0.9772107404506367,0.8692952637150803 ,0.2209643195539315 ,0.1653208065117395
train    ,0.947260573915833  ,0.9502959365681591 ,0.9772064547478017,0.8694007997481671 ,0.22321535934788655,0.16919691934022968
train    ,0.895752861668364  ,0.9017526969680265 ,0.9557937409454   ,0.8174127677353819 ,0.3141133983554346 ,0.23803498347687557
train    ,0.9037009738195902 ,0.9079405535885391 ,0.9584741169239213,0.8244212850110908 ,0.30556422476324463,0.23552477011470507
train    ,0.9656911645368943 ,0.9676023485429254 ,0.9851366679115681,0.8983317062673943 ,0.17877476377332938,0.1297896188594259
train    ,0.892850349513362  ,0.8992042371432973 ,0.9546117576298603,0.8169687526993867 ,0.3188741136798561 ,0.24342207172420852
val      ,0.5364469335020028 ,0.6064801305988224 ,0.7791717517798415,0.5777995495337827 ,0.6209152422241452 ,0.4739644627332259
val      ,0.41374419237198246,0.5107505490298558 ,0.7219305222931454,0.5323784451942606 ,0.7497611266055632 ,0.5773997818204161
val      ,0.4411606027723256 ,0.5218594326968995 ,0.7287126387244094,0.5522030946520126 ,0.6919769820292122 ,0.517367704822146
val      ,0.3093714923566756 ,0.42156745930234196,0.66351504023521  ,0.4862768974286196 ,0.7507340537164187 ,0.56913591893547
